Time,Subject,Content,Medium,Direction
2019-12-11 07:13:52,,Be right there,intercom_text,external
2019-12-11 04:20:40,,Be right there,intercom_text,external
2019-12-11 02:54:19,,Be right there,intercom_text,external
2019-12-05 20:52:27,,Be right there,intercom_text,external
2019-11-23 09:18:37,,6d03f704-fb10-4c5f-baba-6376d8192166,push,out
2019-11-23 09:18:37,,"Hi I’m sorry, didn’t know you were here, I’ll be right there. Thank you!",intercom_text,external
2019-11-21 23:33:07,,"Hi are you here, my GPS is stuck?",intercom_text,external
2019-11-21 22:41:13,,Be right there,intercom_text,external
2019-11-03 08:38:59,,Be right there,intercom_text,external
2019-11-03 08:38:59,,cc0ae99f-2c13-4cfd-abc0-28bfe1667c26,push,out
2019-11-03 04:15:41,,Be right there,intercom_text,external
2019-11-03 04:15:41,,a6b5f750-a97e-4d3e-8ed5-46995147ccc3,push,out
2019-11-01 02:15:37,,Be right there,intercom_text,external
2019-10-26 15:27:44,,Be right there!,intercom_text,external
2019-10-26 15:27:44,,f08a8a53-1e53-4684-9f29-29321f144923,push,out
2019-10-20 18:19:40,,85de1849-e5f1-424c-9f3b-a99e205e8258,push,out
2019-10-20 18:19:40,,Be right there,intercom_text,external
2019-10-20 17:30:27,,"It’s not really any stores, but there’s a big orange truck cart next to this lot",intercom_text,external
2019-10-20 17:29:55,,Right next to where sears used to be,intercom_text,external
2019-10-20 17:29:33,,"Hi, the Megabus stop is in lot 13 of briarwood mall",intercom_text,external
2019-10-18 12:42:04,,Be right there,intercom_text,external
2019-10-15 23:57:09,,Be right there,intercom_text,external
2019-10-06 06:23:19,,Be right there,intercom_text,external
2019-10-06 04:05:01,,Be right there,intercom_text,external
2019-10-05 15:58:33,,In the yellow jacket,intercom_text,external
2019-10-05 15:58:33,,b576b6f7-edaa-434a-bd53-465cd0bfc869,push,out
2019-09-20 04:46:27,,Be right there,intercom_text,external
2019-09-14 06:08:24,,Be right there,intercom_text,external
2019-09-14 06:08:24,,a7f86c09-6d29-428f-b724-bf075e1ce3fc,push,out
2019-09-14 03:20:23,,Be right there,intercom_text,external
2019-09-02 20:22:01,,Be right there,intercom_text,external
2019-07-15 00:14:44,,11009224-6b4b-44a8-b50b-b2909c858ade,push,out
2019-07-15 00:14:44,,Be right there,intercom_text,external
2019-07-11 22:34:11,,Be right there,intercom_text,external
2019-07-08 22:06:21,,3704b575-9d61-496d-8de8-4471e24b3241,push,out
2019-07-08 22:06:21,,Be right there,intercom_text,external
2019-06-29 05:01:02,,9ff6aa0b-759f-4f78-beb2-75a8dcb69b14,push,out
2019-06-29 05:01:02,,Be right there,intercom_text,external
2019-06-25 05:21:05,,Be right there,intercom_text,external
2019-06-21 19:19:01,,Be right there,intercom_text,external
2019-06-19 12:42:02,,Be right there,intercom_text,external
2019-06-12 12:09:38,,Be right there,intercom_text,external
2019-06-09 23:08:16,,Be right there,intercom_text,external
2019-06-08 20:17:21,,Be right there,intercom_text,external
2019-06-05 10:10:48,,Be right there,intercom_text,external
2019-06-02 10:19:01,,Be right there,intercom_text,external
2019-04-27 07:19:30,,Be right there,intercom_text,external
2019-04-19 07:59:56,,Be right there,intercom_text,external
2019-04-13 11:41:36,,Be right there,intercom_text,external
2019-03-23 12:53:08,,Be right there,intercom_text,external
